Touches	Action	Contexte
`HOME`	aller en début de ligne	CLI, GUI
`END`	aller en fin de ligne	CLI, GUI
`PAGE_UP`	scroller d'une page vers le haut	CLI, GUI
`PAGE_DOWN`	scroller d'une page vers le bas	CLI, GUI
`CTRL LEFT` (flèche gauche)	curseur au début du mot précédent	GUI
`CTRL RIGHT` (flèche droite)	curseur au début du mot suivant	GUI
`DOWN` (flèche bas)	afficher la commande suivante	CLI
`UP` (flèche haut)	afficher la commande précédent	CLI
`CTRL W`	supprime le mot précédent	CLI
`CTRL U`	supprime tous les mots précédents	CLI
`CTRL K`	supprime tous les mots suivants	CLI
`F1`	afficher l'aide en ligne	GUI
`CTRL C`	copier	GUI
`CTRL X`	couper	GUI
`CTRL V`	coller	GUI
`SHIFT INSERT`	coller	CLI
`CTRL S`	enregistrer	GUI
`CTRL SHIFT S`	enregistrer sous ...	GUI
`CTRL O`	ouvrir	GUI
`CTRL A`	aller au début du document	GUI
`CTRL END`	aller à la fin du document	GUI
`CTRL HOME`	sélectionner le texte de tout le document	GUI
`CTRL SHIFT LEFT` (flèche)	sélectionner du texte à gauche	GUI
`CTRL SHIFT RIGHT` (flèche)	sélectionner du texte à droite	GUI
`CTRL SHIFT UP` (flèche)	sélectionner du texte de la ligne précédent	GUI
`CTRL SHIFT DOWN` (flèche)	sélectionner du texte de la ligne suivante	GUI
`SHIFT HOME`	sélectionner du texte jusqu'au début de la ligne	GUI
`SHIFT END`	sélectionner du texte jusqu'à la fin de la ligne	GUI
`CTRL SHIFT HOME`	sélectionner du texte jusqu'au début du document	GUI
`CTRL SHIFT END`	sélectionner du texte jusqu'à la fin du document	GUI
`CTRL SHIFT PAGE_UP`	sélectionner du texte jusqu'à la page précédente	GUI
`CTRL SHIFT PAGE_DOWN`	sélectionner du texte jusqu'à la page suivante	GUI
`F12`	dans un navigateur, afficher le panneau de développement	Browser
`CTRL SHIFT DELETE`	supprimer le cache du navigateur	Browser
`CTRL R`	recharger la page	Browser
`CTRL SHIFT R`	recharger la page en vidant le cache	Browser
